config,accuracy,weighted_f1,macro_f1,uar,best_val_f1,epochs_trained,cnn_blocks,lstm_hidden,lstm_layers,bidirectional,dropout,lr,augmented
cl_1,0.5460636515912898,0.5459540173118602,0.5547061139419159,0.5438704479606785,0.5891403861093186,62,2,128,1,True,0.3,0.001,False
cl_2,0.5661641541038526,0.5573277643629403,0.5694805194805195,0.5703705968447588,0.5667013829437406,34,2,256,1,True,0.3,0.001,False
cl_3,0.5628140703517588,0.5615208051584977,0.5747923664506825,0.5748424203990011,0.5551958295595362,39,2,128,2,True,0.3,0.001,False
cl_4,0.5661641541038526,0.5628964773567007,0.575482484469998,0.5767861579556945,0.5878092856377081,33,3,128,1,True,0.3,0.001,False
cl_5,0.5393634840871022,0.5363409443955169,0.5510072202102737,0.5523063666580533,0.5749090634360713,35,2,128,1,False,0.3,0.001,False
cl_6,0.507537688442211,0.5075991627737414,0.5122625162310463,0.5037153677054609,0.929786478310444,87,2,128,1,True,0.3,0.001,True
