config,accuracy,weighted_f1,macro_f1,uar,best_val_f1,epochs_trained,n_layers,hidden,dropout,lr,augmented
mlp_1,0.559463986599665,0.5601894210048618,0.568459286925196,0.5742454714665284,0.6153121137364218,20,2,256,0.3,0.001,False
mlp_2,0.5293132328308208,0.5274688386928554,0.5392942398219249,0.5522238290717063,0.6009438672159892,25,3,256,0.3,0.001,False
mlp_3,0.5494137353433836,0.54888896837611,0.5604912649949415,0.571666310585917,0.6212997917432366,16,3,512,0.3,0.001,False
mlp_4,0.542713567839196,0.5362300230640027,0.5549982668089882,0.5742214262560672,0.6110166116757817,15,3,512,0.5,0.001,False
mlp_5,0.5058626465661642,0.507311541850177,0.5149365027082419,0.5126819607560796,0.6109785675963605,18,4,512,0.3,0.0005,False
mlp_6,0.5477386934673367,0.5470225930586229,0.5508121612779774,0.5529510413009288,0.8179234257389106,76,3,256,0.3,0.001,True
