config,accuracy,weighted_f1,macro_f1,uar,best_val_f1,epochs_trained,n_layers,hidden,dropout,lr,augmented
mlp_1,0.6278229448961157,0.6273122559827504,0.6312840418821254,0.6258206510127866,0.6385907858406753,18,2,256,0.3,0.001,False
mlp_2,0.6124661246612466,0.6090492299968134,0.6186880039128484,0.6300539717540277,0.6184988555414764,19,3,256,0.3,0.001,False
mlp_3,0.5989159891598916,0.5994694867162564,0.6053624005522343,0.6017498305512419,0.6161410595126069,34,3,512,0.3,0.001,False
mlp_4,0.6251129177958447,0.6226869786595617,0.6271813265221226,0.6286317889912116,0.618385730966172,20,3,512,0.5,0.001,False
mlp_5,0.6187895212285456,0.6162972136317818,0.6239810699032442,0.6333501320190642,0.5983871373665705,16,4,512,0.3,0.0005,False
mlp_6,0.6115627822944896,0.6108479716572246,0.6148932270025734,0.6162304294377094,0.8261429017470834,93,3,256,0.3,0.001,True
