model,best_config,clean_UAR,clean_WF1,gauss_20_noised_UAR,gauss_20_noised_WF1,gauss_20_denoised_UAR,gauss_20_denoised_WF1,gauss_10_noised_UAR,gauss_10_noised_WF1,gauss_10_denoised_UAR,gauss_10_denoised_WF1,gauss_5_noised_UAR,gauss_5_noised_WF1,gauss_5_denoised_UAR,gauss_5_denoised_WF1,gauss_0_noised_UAR,gauss_0_noised_WF1,gauss_0_denoised_UAR,gauss_0_denoised_WF1,room_03_noised_UAR,room_03_noised_WF1,room_03_denoised_UAR,room_03_denoised_WF1,room_06_noised_UAR,room_06_noised_WF1,room_06_denoised_UAR,room_06_denoised_WF1
MLP,mlp_6,0.5428208727261788,0.5433381993250513,0.5292100970117654,0.5242468532353131,0.2645631067961165,0.07829908131088868,0.5170256270884044,0.5075834910448549,0.26173249085408756,0.08349269125879451,0.5000431231663793,0.5004916149049286,0.2524799493457155,0.072775731534416,0.4272079461854115,0.4158593683429197,0.2536935415787252,0.07552824299414392,0.5372102996469849,0.532663125691186,0.27319501887207426,0.11333530556463993,0.4987081080141469,0.5064243170162941,0.30158064409151697,0.1898500705738266
CNN,cnn_9,0.6033411315633921,0.5804891150519969,0.5894926878725595,0.5664290853026088,0.40988686761867,0.3643406825466143,0.5567994872519393,0.5402568215933015,0.29276295053152807,0.24146396816861831,0.5165244531931135,0.5097129692618773,0.27680226275036196,0.2354518387287132,0.4638031846563675,0.44536346145746053,0.26990036786654986,0.2432917203437051,0.5391307625083996,0.5120847422319207,0.39115804754000594,0.30104820124809745,0.5494106627301765,0.5200647692059944,0.40304479553362554,0.30912101978511997
CNN-LSTM,cl_4,0.5767861579556945,0.5628964773567007,0.38264603276320963,0.3787542875273618,0.2512135922330097,0.04454772081581558,0.32449202091461754,0.21125426642824136,0.25,0.04115400417666465,0.28155422507788164,0.13754287781309388,0.25,0.04115400417666465,0.30131668613707163,0.16128236490369738,0.25,0.04115400417666465,0.4793685878753868,0.4963934024507865,0.252136977627691,0.054090916323698814,0.4141696992089542,0.4214209888338021,0.26754432249894466,0.1562351591911154
wav2vec2,wav2vec2_finetuned_best.pt,0.6702740697847588,0.6810972702689487,0.5556868427813699,0.5518304966623149,0.46741424515319235,0.4217075428195535,0.3709194543289556,0.3911299667991537,0.39576540471484606,0.37691438675340205,0.2827838851208299,0.29245634186579994,0.33467595090203284,0.33436987060660983,0.2522353159120467,0.25647895023944695,0.28809234947051016,0.29698025217730634,0.5911067784871175,0.5827259837404903,0.397317936303092,0.28071703911241846,0.5196154929932842,0.5210588984766049,0.3869604862965827,0.31747380118682594
